MEZZ.KW,,,,,
"Display: Time and Sales, Filters: Trading Day, # of Days: 60, Days Back: ",,,,,
Timestamp,TICK,Last Trade,Volume,Bid,Ask
2021-04-05 12:43:28.154,DOWN,577,200.00,576,577
2021-04-05 12:42:25.652,DOWN,577,2500.00,576,577
2021-04-05 12:41:42.609,DOWN,577,2291.00,576,577
2021-04-05 12:40:43.408,DOWN,577,709.00,577,579
2021-04-05 12:39:58.636,DOWN,577,2000.00,576,577
2021-04-05 12:39:58.636,DOWN,577,2000.00,576,577
2021-04-05 12:39:58.636,DOWN,577,1000.00,576,577
2021-04-05 12:39:58.636,DOWN,577,1291.00,576,577
2021-04-05 12:39:58.636,DOWN,577,3000.00,576,577
2021-04-05 12:29:50.863,UP,579,3000.00,576,579
2021-04-05 12:29:50.775,DOWN,577,9291.00,576,579
2021-04-05 12:29:50.775,DOWN,578,7291.00,576,579
2021-04-05 12:29:50.775,UP,580,3000.00,576,579
2021-04-05 12:29:50.775,UP,,2291.00,576,579
2021-04-05 12:29:50.775,UP,579,1291.00,576,579
2021-04-05 12:29:31.720,UP,579,906.00,577,579
2021-04-05 12:29:31.720,UP,579,9094.00,577,579
2021-04-05 12:22:22.185,UP,579,10906.00,574,579
2021-04-05 12:22:22.185,UP,579,44.00,574,579
2021-04-05 12:13:15.676,UP,579,2294.00,577,579
2021-04-05 12:09:52.552,UP,579,901.00,577,579
2021-04-05 12:09:52.552,UP,579,100.00,577,579
2021-04-05 12:09:52.552,UP,578,8999.00,577,579
2021-04-05 12:07:46.432,UP,578,1000.00,576,578
2021-04-05 12:05:06.341,UP,578,1.00,577,578
2021-04-05 12:05:01.823,UP,577,550.00,577,578
2021-04-05 12:04:10.509,UP,577,5000.00,577,578
2021-04-05 12:04:10.509,UP,577,9500.00,577,578
2021-04-05 12:03:37.640,UP,575,596.00,575,577
2021-04-05 12:02:33.179,UP,575,3000.00,574,575
2021-04-05 11:55:37.917,UP,574,1048.00,574,575
2021-04-05 11:55:37.917,UP,574,19945.00,574,575
2021-04-05 11:47:35.100,UP,574,3055.00,574,575
2021-04-05 11:47:16.989,UP,574,6000.00,573,574
2021-04-05 11:45:44.493,UP,574,30000.00,573,574
2021-04-05 11:45:02.307,UP,574,45.00,573,574
2021-04-05 11:42:52.526,DOWN,573,1500.00,573,574
2021-04-05 11:42:52.526,DOWN,573,500.00,573,574
2021-04-05 11:41:19.344,DOWN,574,7000.00,573,574
2021-04-05 11:40:23.843,DOWN,574,11900.00,573,574
2021-04-05 11:38:47.353,DOWN,574,2000.00,573,574
2021-04-05 11:25:40.565,DOWN,575,200.00,573,575
2021-04-05 09:46:58.759,DOWN,576,1500.00,571,576
2021-04-05 09:41:14.703,DOWN,576,1.00,571,576
2021-04-05 09:40:15.348,DOWN,577,3500.00,576,577
2021-04-05 09:40:15.348,DOWN,577,1500.00,576,577
2021-04-05 09:40:15.348,DOWN,577,5000.00,576,577
2021-04-05 09:01:24.062,UP,579,1.00,576,579
2021-04-05 09:00:01.740,DOWN,570,100.00,570,576
2021-04-04 12:25:28.438,UP,573,1.00,571,573
2021-04-04 12:24:25.876,DOWN,571,7495.00,571,573
